,episode,reward1,reward2,length,coop,totalreward,epsilon
0,1,0.1,0.009999999999999995,2035,1,1.1,0.9959323986647973
1,2,0.009999999999999995,0.1,542,1,1.1,0.9948485048970098
2,3,0.1,0.009999999999999995,195,1,1.1,0.9944585431170863
3,4,0.01999999999999999,0.2,411,2,2.2,0.9936366236732473
4,5,0.1,0.009999999999999995,287,1,1.1,0.9930626799253599
5,6,0.1,0.009999999999999995,368,1,1.1,0.9923267520535041
6,7,0.009999999999999995,0.1,159,1,1.1,0.9920087832175665
7,8,0.1,0.009999999999999995,376,1,1.1,0.9912568569137138
8,9,0.009999999999999995,0.1,339,1,1.1,0.9905789233578467
9,10,0.1,0.009999999999999995,1428,1,1.1,0.9877232032464065
10,11,0.1,0.009999999999999995,1084,1,1.1,0.9855554157108314
11,12,0.1,0.009999999999999995,196,1,1.1,0.9851634541269082
12,13,0.1,0.009999999999999995,5165,1,1.1,0.9748344664689329
13,14,0.1,0.009999999999999995,974,1,1.1,0.9728866573733147
14,15,0.009999999999999995,0.1,1048,1,1.1,0.9707908627817255
15,16,0.1,0.009999999999999995,1285,1,1.1,0.9682211146422293
16,17,0.009999999999999995,0.1,758,1,1.1,0.9667052632105264
17,18,0.1,0.009999999999999995,631,1,1.1,0.9654433868867738
18,19,0.1,0.009999999999999995,52,1,1.1,0.9653393970787941
19,20,0.1,0.009999999999999995,595,1,1.1,0.9641495136990273
20,21,0.1,0.009999999999999995,185,1,1.1,0.9637795499591
21,22,0.1,0.009999999999999995,2673,1,1.1,0.9584340738681477
22,23,0.1,0.009999999999999995,687,1,1.1,0.9570602085204171
23,24,0.009999999999999995,0.1,1365,1,1.1,0.9543304760609521
24,25,0.009999999999999995,0.1,1600,1,1.1,0.9511307896615793
25,26,0.01999999999999999,0.2,60,2,2.2,0.9510108014216029
26,27,0.1,0.009999999999999995,672,1,1.1,0.9496669331338663
27,28,0.1,0.009999999999999995,1610,1,1.1,0.9464472486944974
28,29,0.009999999999999995,0.1,1091,1,1.1,0.944265462530925
29,30,0.1,0.009999999999999995,220,1,1.1,0.9438255056510113
30,31,0.1,0.009999999999999995,947,1,1.1,0.9419316912633825
31,32,0.1,0.009999999999999995,957,1,1.1,0.9400178788357577
32,33,0.1,0.009999999999999995,807,1,1.1,0.9384040370080741
33,34,0.1,0.009999999999999995,96,1,1.1,0.9382120558241116
34,35,0.009999999999999995,0.1,212,1,1.1,0.9377880973761947
35,36,0.1,0.009999999999999995,718,1,1.1,0.9363522381044762
36,37,0.1,0.009999999999999995,111,1,1.1,0.9361302598605197
37,38,0.009999999999999995,0.1,196,1,1.1,0.9357382982765966
38,39,0.009999999999999995,0.1,274,1,1.1,0.935190351980704
39,40,0.1,0.009999999999999995,653,1,1.1,0.93388447996896
40,41,0.1,0.009999999999999995,894,1,1.1,0.9320966551933104
41,42,0.009999999999999995,0.1,623,1,1.1,0.9308507773015546
42,43,0.009999999999999995,0.1,983,1,1.1,0.92888496996994
43,44,0.1,0.009999999999999995,275,1,1.1,0.9283350238700477
44,45,0.009999999999999995,0.1,633,1,1.1,0.9270691479382959
45,46,0.01999999999999999,0.2,343,2,2.2,0.9263832151664303
46,47,0.1,0.009999999999999995,999,1,1.1,0.9243854109708219
47,48,0.009999999999999995,0.1,208,1,1.1,0.9239694517389034
48,49,0.009999999999999995,0.1,1868,1,1.1,0.9202338178676357
49,50,0.1,0.009999999999999995,232,1,1.1,0.9197698633397267
50,51,0.009999999999999995,0.1,298,1,1.1,0.9191739217478435
51,52,0.009999999999999995,0.1,1734,1,1.1,0.9157062616125232
52,53,0.009999999999999995,0.1,256,1,1.1,0.9151943117886235
53,54,0.01999999999999999,0.2,241,2,2.2,0.914712359024718
54,55,0.009999999999999995,0.1,1042,1,1.1,0.9126285632571265
55,56,0.1,0.009999999999999995,171,1,1.1,0.9122865967731936
56,57,0.009999999999999995,0.1,1267,1,1.1,0.9097528451056902
57,58,0.009999999999999995,0.1,476,1,1.1,0.9088009384018768
58,59,0.009999999999999995,0.1,469,1,1.1,0.9078630303260606
59,60,0.1,0.009999999999999995,329,1,1.1,0.9072050948101896
60,61,0.009999999999999995,0.1,279,1,1.1,0.906647149494299
61,62,0.009999999999999995,0.1,2325,1,1.1,0.9019976051952104
62,63,0.009999999999999995,0.1,13,1,1.1,0.9019716077432155
63,64,0.009999999999999995,0.1,979,1,1.1,0.9000137996275993
64,65,0.009999999999999995,0.1,1158,1,1.1,0.8976980265960532
65,66,0.1,0.009999999999999995,308,1,1.1,0.8970820869641739
66,67,0.009999999999999995,0.1,1796,1,1.1,0.893490438980878
67,68,0.1,0.009999999999999995,552,1,1.1,0.8923865471730943
68,69,0.009999999999999995,0.1,1781,1,1.1,0.8888248962497926
69,70,0.2,0.01999999999999999,385,2,2.2,0.8880549717099434
70,71,0.1,0.009999999999999995,1206,1,1.1,0.8856432080864162
71,72,0.1,0.009999999999999995,430,1,1.1,0.8847832923665847
72,73,0.009999999999999995,0.1,514,1,1.1,0.8837553931107862
73,74,0.009999999999999995,0.1,520,1,1.1,0.8827154950309901
74,75,0.2,0.01999999999999999,155,2,2.2,0.8824055254110508
75,76,0.1,0.009999999999999995,82,1,1.1,0.882241541483083
76,77,0.1,0.009999999999999995,630,1,1.1,0.88098166496333
77,78,0.1,0.009999999999999995,218,1,1.1,0.8805457076914154
78,79,0.1,0.009999999999999995,2318,1,1.1,0.875910162020324
79,80,0.1,0.009999999999999995,27,1,1.1,0.8758561673123346
80,81,0.1,0.009999999999999995,409,1,1.1,0.875038247476495
81,82,0.1,0.009999999999999995,1469,1,1.1,0.8721005354010708
82,83,0.009999999999999995,0.1,471,1,1.1,0.8711586277172554
83,84,0.01999999999999999,0.2,99,2,2.2,0.8709606471212943
84,85,0.1,0.009999999999999995,143,1,1.1,0.8706746751493504
85,86,0.009999999999999995,0.1,359,1,1.1,0.869956745513491
86,87,0.009999999999999995,0.1,767,1,1.1,0.8684228958457917
87,88,0.009999999999999995,0.1,926,1,1.1,0.8665710773421547
88,89,0.1,0.009999999999999995,1554,1,1.1,0.8634633819267639
89,90,0.1,0.009999999999999995,877,1,1.1,0.8617095538191076
90,91,0.009999999999999995,0.1,246,1,1.1,0.861217602035204
91,92,0.1,0.009999999999999995,1633,1,1.1,0.8579519221038442
92,93,0.009999999999999995,0.1,386,1,1.1,0.8571799977599955
93,94,0.1,0.009999999999999995,535,1,1.1,0.8561101026202053
94,95,0.009999999999999995,0.1,565,1,1.1,0.8549802133604267
95,96,0.1,0.009999999999999995,237,1,1.1,0.8545062598125196
96,97,0.009999999999999995,0.1,452,1,1.1,0.8536023484046968
97,98,0.1,0.009999999999999995,307,1,1.1,0.8529884085768171
98,99,0.009999999999999995,0.1,117,1,1.1,0.852754431508863
